author,entries,copies,languages
"Ahmad Hasan, Maulvi, Sayad",9,12300,Bilingual (Arabic and Urdu)
Raj Narayan,8,4500,Urdu
"Lahora Singh, B.",7,350,Punjabi
Nand Lal,6,3600,Urdu
"Tola Ram, Rai Bahadur",6,7000,Punjabi
"Ali Bakhsh, Raja",5,2500,Bilingual (Hindi and Urdu); Hindi; Urdu
"Dev Raj, Lala",5,18000,Hindi
"Ram Kishan, Hakim",5,5000,Urdu
"Milkhi Ram, Lala",5,7000,Punjabi
"Shiv Brit Lal, Babu, M.A.",5,5000,Urdu
"Muhammad Muazzam, Maulvi",5,6000,Urdu
"Asha Ram, Lala",4,10000,Hindi
"Kali Das, Lala",4,11200,Punjabi
"Ghulam Ahmad, M.",4,8000,Urdu
"Sajjad Hussain, M.",4,3500,Urdu
"Waryam Singh, B.",4,4000,Punjabi
"Arjan Singh, B.",4,4100,Punjabi
"Muhammad Khuda Bukhsh, Maulvi",4,4000,Punjabi
"Abdul Wahid, Haji",4,1600,Urdu
"Jagat Singh, Master",4,2500,Urdu
"Arjan Singh, Bhai",3,2650,Punjabi
"Gurdit Singh, Bhai",3,2750,Punjabi
"Partap Singh, Bhai",3,3000,Punjabi
"Waryam Singh, Bhai",3,3000,Punjabi
"Nand Lal, Lala",3,2500,Urdu
"Dip Chand, Lala",3,2000,Hindi; Punjabi
"Dalail Singh, B.",3,3000,Punjabi
"Kishen Singh, Bhai",3,2000,Punjabi
"Sant Ram, Lala",3,2550,Punjabi; Urdu
"Natha Singh, B.",3,3000,Punjabi
"Shiw Brit Lal, Babu, M.A.",3,3000,Urdu
"Muhammad Salih, Maulvi",3,3000,Urdu
"Sundar Singh, B.",3,14000,Punjabi
"Qalij Beg, Mirza",3,3000,Sindhi
"Krishn Gopal, Diwan",3,3000,Urdu
"Devi Dayal, Lala",3,3000,Urdu
Girdhari Lal Pandit,3,101000,Urdu
"Madho Narayan, Lala",3,8500,Bilingual (English and Urdu)
"Sham Das, P.",3,6000,Punjabi
"Ghulam Rasul, Maulvi",3,3000,Punjabi
"Sant Ram, Pandit",2,2100,Hindi
"Shiv Brat Lal, M.A.",2,2000,Punjabi
Dewki Nandan,2,2200,Punjabi
"Sundar Singh, Bhai",2,2500,Punjabi
"Bhagwan Singh, Bhai",2,1250,Punjabi
"Mangal Singh, Bhai",2,2100,Punjabi
"Phuman Singh, Bhai",2,1750,Punjabi
"Ghulam Mustafa, M.",2,8000,Punjabi
Kali Das,2,5100,Punjabi
"Raghbir Singh, B.",2,2000,Urdu
Abdur Rahman,2,2375,Urdu
Hakim Rai,2,2000,Urdu
Maneshwar,2,1070,Urdu
"Afzal Hussain, M.",2,2000,Urdu
"Muhammad Ali, M.",2,2000,Urdu
Riaz-ud-din,2,1700,Urdu
Shibdat Singh,2,4200,Urdu
"Chiranji Lal, Lala",2,3000,Bilingual (Punjabi and Urdu); Urdu
"Harnam Das, Lala",2,200,English
"Nijanand, Pandit",2,2000,Hindi; Punjabi
"Amar Singh, B.",2,1000,Punjabi
"Moti Ram, Lala",2,2000,Punjabi
"Sohan Singh, B.",2,3000,Punjabi
"Deva Singh, B.",2,2000,Punjabi
"Mohar Singh, B.",2,2000,Punjabi
"Waras Shah, M.",2,11500,Punjabi
"Ram Singh, B.",2,1125,Punjabi
"Muhammad Din, Fauq",2,2000,Urdu
"Ghulam Muhammad, Mian",2,2000,Punjabi; Urdu
"Rang Bihari Lal, Lala",2,3350,Urdu
"Thakar Dat Sharma, Pandit",2,6000,Urdu
"Dev Ratan, Shriman",2,2000,Urdu
"Muin-ud-din, Qazi",2,1000,Urdu
"Badri Nath, Joshi",2,4000,Urdu
"Darshan Anand, Sarasswati",2,6000,Urdu
"Muhammad Hussain, Dr., Sayad",2,2000,Urdu
"Hildesley, A. H., Reverend, M.A. (editor)",2,1100,English
"Nihal Singh, Raizada",2,2000,English
"Jiwan Lal, Lala",2,1500,Hindi
"Jagat Singh, Pandit",2,3000,Hindi; Punjabi
"Partab Singh, B.",2,1250,Punjabi
"Dewa Singh, B.",2,2000,Punjabi
"Marik Singh, B.",2,2000,Punjabi
