language,entries,copies,mean_run,median_run,pct_free,pct_educ
Urdu,550,725896,1322,1000,12,17
Punjabi,446,684237,1534,1000,10,2
Hindi,75,117350,1565,1000,12,28
English,48,75970,1583,1000,10,42
Sindhi,33,39340,1192,1000,3,6
Bilingual (Arabic and Urdu),33,40500,1227,1000,6,12
Bilingual (Hindi and Sanskrit),24,24000,1000,1000,0,4
Arabic,17,39850,2344,1500,6,24
Persian,12,13725,1144,1000,0,8
Sanskrit,9,7600,844,550,11,11
Bilingual (English and Urdu),9,16500,1833,1000,0,78
Bilingual (Arabic and Persian),6,6200,1033,550,17,0
Bilingual (Punjabi and Urdu),6,5300,883,875,50,0
Bilingual (Sanskrit and Urdu),6,9200,1533,1000,17,0
Kashmiri,4,2500,625,562,0,0
Bilingual (Arabic and Punjabi),4,2500,625,500,25,0
Bilingual (Arabic and Sindhi),3,3000,1000,1000,0,0
"Trilingual (Arabic, Urdu and Punjabi)",3,4000,1333,1000,0,0
Bilingual (Persian and Sindhi),2,2000,1000,1000,0,50
Bilingual (Persian and Urdu),2,2000,1000,1000,0,0
Pushto,2,1900,950,950,0,0
Bilingual (Hindi and Urdu),2,5500,2750,2750,0,0
Bilingual (Arabic and Pushto),2,3000,1500,1500,0,0
Bilingual (Arabic and English),1,5000,5000,5000,0,0
Bilingual (English and Hindi),1,1000,1000,1000,0,0
Bilingual (Urdu and Mahajani),1,1000,1000,1000,0,100
"Trilingual (Arabic, Persian and Sindhi)",1,1000,1000,1000,0,0
"Polyglot (Sanskrit, Hindi, Urdu and English)",1,500,500,500,0,0
Multani,1,500,500,500,0,0
Bilingual (Arabic and Kashmiri),1,375,375,375,0,0
Bilingual (English and Persian),1,1000,1000,1000,0,0
Bilingual (Persian and Punjabi),1,500,500,500,0,0
Tibetan,1,1000,1000,1000,0,0
"Polyglot (English, Urdu, Gurmukhi and Nagari)",1,1000,1000,1000,0,100
