Source,Target,Type,Weight,copies
printer:Civil and Military Gazette Press,publisher:Civil and Military Gazette Press,Undirected,47,45925
printer:Wazir-i-Hind Press,publisher:Khalsa Tract Society,Undirected,25,56600
printer:Qaumi Press,"publisher:Nand Lal, B. A., & Co., Co-operative Works",Undirected,24,9600
printer:Khadim-ut-Talim Press,publisher:Karkhana 'Paisa Akhbar',Undirected,22,25000
printer:Mufid-i-Am Press,publisher:The Secretary of the Fund named,Undirected,20,34950
printer:Mufid-i-Am Press,publisher:Gulab Singh and Sons,Undirected,19,26350
printer:Newal Kishore Press,"publisher:The Vakil Trading Company, Limited",Undirected,15,26000
printer:Rafah-i-Am Steam Press,"publisher:Bharat Literature Company, Limited",Undirected,10,10000
printer:Arya Steam Press,publisher:Lala Pokhar Das,Undirected,9,9000
printer:Hamidiya Steam Press,publisher:B. Daya Singh and Sons,Undirected,7,10000
printer:Rajeshwari Press,publisher:Balak Ram Anand,Undirected,6,4200
printer:Arya Steam Press,publisher:M. Pokhar Das,Undirected,6,6000
printer:Yusufi Press,"publisher:Saghir Hasan, Proprietor, Yusufi Press",Undirected,6,4625
printer:Muir Press,"publisher:The Secretary, Orphanage",Undirected,6,3000
printer:Sri Gurmat Press,publisher:B. Hardit Singh,Undirected,6,6000
printer:Khadim-ut-Talim Press,publisher:Karkhana Paisa Akhbar,Undirected,5,5000
printer:Hindustan Steam Press,publisher:Mian Karm-ud-din,Undirected,5,12000
printer:Mufid-i-Am Press,publisher:Lala Pokhar Das,Undirected,5,5000
printer:Balmukand Press,publisher:B. Daya Singh and Sons,Undirected,5,9000
printer:Balmukand Press,publisher:P. Roda Ram,Undirected,5,10000
printer:Qaumi Press,"publisher:Nand Lal and Co., Co-operative Works",Undirected,4,2800
printer:Anglo-Urdu and Gurmukhi Press,publisher:B. Atar Singh,Undirected,4,4000
printer:Wazir-i-Hind Press,publisher:Lala Devi Das and Sons,Undirected,4,6000
printer:Sri Gurmat Press,publisher:B. Arjan Singh,Undirected,4,8000
printer:Hamidiya Steam Press,publisher:M. Fateh Muhammad,Undirected,4,5000
printer:Rose Bazar Press,"publisher:The Vakil Trading Company, Limited",Undirected,4,4000
printer:Anand Prakash Press,publisher:Ram Nath,Undirected,3,2950
printer:Rajeshwari Press,publisher:Balak Ram,Undirected,3,2100
printer:Arya Steam Press,publisher:Pokhar Das,Undirected,3,3000
printer:Wazir-i-Hind Press,publisher:The Sanyasi Ashram,Undirected,3,10000
printer:Shahi Press,"publisher:Sheikh Allah Bakhsh, Ilahi Bakhsh",Undirected,3,3000
printer:Anglo-Urdu and Gurmukhi Press,"publisher:Lala Maghi Ram, Sant Ram",Undirected,3,3000
printer:Anglo-Urdu and Gurmukhi Press,"publisher:B. Chatar Singh, Jiwan Singh",Undirected,3,3000
printer:Mujaddidi Press,publisher:Pir Ghulam Muhammad,Undirected,3,1300
printer:Newal Kishore Press,publisher:Jot Singh Sant Singh,Undirected,3,9500
printer:Mufid-i-Am Press,publisher:The Punjab Text-Book Committee,Undirected,3,3500
printer:Sri Gurmat Press,publisher:B. Matab Kaur,Undirected,3,3000
printer:Sri Gurmat Press,publisher:B. Hakim Singh,Undirected,3,3000
printer:Dipak Rajput Printing Works,publisher:Haji Charag-ud-din-Siraj-ud-din,Undirected,3,6000
printer:Imperial Book Depot Press,publisher:The Imperial Book Depot,Undirected,3,3000
printer:Newal Kishore Press,publisher:The Christian Knowledge Society,Undirected,3,900
printer:Mujaddidi Press,publisher:The Anjuman-i-Rafiq-ul-Islam,Undirected,3,4800
printer:Wazir-i-Hind Press,publisher:The Temperance Society,Undirected,3,3000
printer:Mufid-i-Am Press,publisher:The Secretary of the fund named,Undirected,3,8000
printer:Punjab Educational Printing Works,publisher:The Scholars' Own Repository,Undirected,2,1000
printer:Maqbul-i-'Am Press,publisher:Hakim Sayad Maqbul Husain,Undirected,2,1000
printer:Khalsa Press,"publisher:Bharat Literature Company, Limited",Undirected,2,2000
printer:Wazir-i-Hind Press,publisher:B. Sundar Singh,Undirected,2,2200
printer:Wazir-i-Hind Press,"publisher:The Manager, Gobind Aushudhalaya",Undirected,2,6000
printer:Sri Gurmat Press,publisher:Bhai Hardit Singh,Undirected,2,2000
printer:Sri Gurmat Press,publisher:The Iqbal-i-Hind Press,Undirected,2,2000
printer:Sri Gurmat Press,publisher:Bhai Karam Singh,Undirected,2,2000
printer:Hamidiya Steam Press,publisher:Umr-ud-din,Undirected,2,2000
printer:Moti Press,publisher:Hira Lal and Sons,Undirected,2,1700
printer:Mujaddidi Press,publisher:Atar Singh,Undirected,2,1500
printer:Islamia Press,publisher:Malak Ghulam Muhammad,Undirected,2,3000
printer:Wazir-i-Hind Press,publisher:Hardit Singh,Undirected,2,2000
printer:Anand Prakash Press,publisher:Tirath Ram,Undirected,2,1100
printer:Islamia Press,publisher:Hari Singh,Undirected,2,1000
printer:Sadar Press,publisher:Daya Singh and Son,Undirected,2,2000
printer:Mission Steam Press,publisher:Christian Literature Society,Undirected,2,2000
printer:Mujaddidi Press,publisher:Abdul Ahad,Undirected,2,2050
printer:Himmat Press,publisher:B. Takht Singh,Undirected,2,3800
printer:Artistic Printing Works,"publisher:The Manager, Review of Religions, Qadian",Undirected,2,1600
printer:Faruqi Press,publisher:M. Abdus Salam,Undirected,2,3300
printer:Dipak Rajput Printing Works,publisher:Haji Chiragh-ud-din Siraj-ud-din,Undirected,2,4000
printer:Vidya Sagar Press,publisher:Hakim Ram Kishen,Undirected,2,6000
printer:Sri Gurmat Press,publisher:B. Chatar Singh Jiwan Singh,Undirected,2,2000
printer:Mujaddidi Press,publisher:B. Kishen Singh,Undirected,2,1000
printer:Dipak Rajput Printing Works,"publisher:Haji Chiragh-ud-Din, Siraj-ud-Din",Undirected,2,4000
printer:Rafah-i-Am Steam Press,"publisher:M. Muhammad Din, Fauq",Undirected,2,1700
printer:Dipak Rajput Printing Works,publisher:Lala Lachman Das,Undirected,2,2000
printer:Dipak Rajput Printing Works,publisher:Lala Lachhman Das,Undirected,2,2000
printer:Rafah-i-Am Steam Press,publisher:The Bazm-i-Urdu,Undirected,2,6000
printer:Wazir-i-Hind Press,publisher:Messrs. Devi Das and Sons,Undirected,2,4000
printer:Badr Press,publisher:The Badr Book Agency,Undirected,2,1400
printer:Rafah-i-Am Steam Press,publisher:M. Shaikh Muhammad Chittu,Undirected,2,1000
