Id,Label,Type,entries,copies,degree,wdegree
printer:Wazir-i-Hind Press,Wazir-i-Hind Press,printer,107,178150,40,76
printer:Sri Gurmat Press,Sri Gurmat Press,printer,95,106425,40,56
printer:Mufid-i-Am Press,Mufid-i-Am Press,printer,94,164187,23,69
printer:Arya Steam Press,Arya Steam Press,printer,74,84490,29,47
printer:Bombay Press,Bombay Press,printer,61,157950,34,37
printer:Rafah-i-Am Steam Press,Rafah-i-Am Steam Press,printer,61,61500,22,35
printer:Newal Kishore Press,Newal Kishore Press,printer,60,234450,21,41
printer:Hamidiya Steam Press,Hamidiya Steam Press,printer,55,66375,18,29
printer:Dipak Rajput Printing Works,Dipak Rajput Printing Works,printer,55,73000,31,38
printer:Qaumi Press,Qaumi Press,printer,52,24300,10,36
printer:Civil and Military Gazette Press,Civil and Military Gazette Press,printer,48,46225,2,48
publisher:Civil and Military Gazette Press,Civil and Military Gazette Press,publisher,47,45925,1,47
printer:Hindustan Steam Press,Hindustan Steam Press,printer,42,90009,23,29
printer:Mujaddidi Press,Mujaddidi Press,printer,40,33225,20,27
printer:Khadim-ut-Talim Press,Khadim-ut-Talim Press,printer,38,42000,4,29
printer:Anand Prakash Press,Anand Prakash Press,printer,28,20520,10,13
publisher:Khalsa Tract Society,Khalsa Tract Society,publisher,26,57600,2,26
printer:Shahi Press,Shahi Press,printer,25,40000,15,17
printer:Punjab Printing Works,Punjab Printing Works,printer,24,46000,10,10
printer:Rajput Printing Works,Rajput Printing Works,printer,24,20500,11,11
"publisher:Nand Lal, B. A., & Co., Co-operative Works","Nand Lal, B. A., & Co., Co-operative Works",publisher,24,9600,1,24
publisher:Karkhana 'Paisa Akhbar',Karkhana 'Paisa Akhbar',publisher,22,25000,1,22
printer:Anglo-Urdu and Gurmukhi Press,Anglo-Urdu and Gurmukhi Press,printer,22,20500,11,19
printer:Vidya Sagar Press,Vidya Sagar Press,printer,21,46100,14,16
printer:Balmukand Press,Balmukand Press,printer,21,37500,8,19
publisher:The Secretary of the Fund named,The Secretary of the Fund named,publisher,20,34950,1,20
"publisher:The Vakil Trading Company, Limited","The Vakil Trading Company, Limited",publisher,20,31000,3,20
printer:Rajeshwari Press,Rajeshwari Press,printer,19,15800,7,14
publisher:Gulab Singh and Sons,Gulab Singh and Sons,publisher,19,26350,1,19
printer:Moti Press,Moti Press,printer,18,9850,11,13
printer:Punjab Economical Press,Punjab Economical Press,printer,17,19000,8,8
publisher:B. Daya Singh and Sons,B. Daya Singh and Sons,publisher,16,22500,5,16
"publisher:Bharat Literature Company, Limited","Bharat Literature Company, Limited",publisher,15,16000,4,15
printer:Himmat Press,Himmat Press,printer,15,22400,10,12
publisher:Lala Pokhar Das,Lala Pokhar Das,publisher,14,14000,2,14
printer:Imperial Book Depot Press,Imperial Book Depot Press,printer,13,19000,4,6
printer:Yusufi Press,Yusufi Press,printer,12,8125,5,10
"printer:Gurmukhi Press, Siri Guru Singh Sabha","Gurmukhi Press, Siri Guru Singh Sabha",printer,11,9550,2,3
printer:Muir Press,Muir Press,printer,10,5600,5,10
printer:Faruqi Press,Faruqi Press,printer,10,14300,2,3
printer:Silcock Press,Silcock Press,printer,9,7700,2,3
publisher:B. Hardit Singh,B. Hardit Singh,publisher,9,9000,3,9
printer:Maqbul-i-'Am Press,Maqbul-i-'Am Press,printer,8,3700,6,7
printer:Badr Press,Badr Press,printer,8,5550,4,6
printer:Rose Bazar Press,Rose Bazar Press,printer,8,10750,5,8
publisher:B. Atar Singh,B. Atar Singh,publisher,7,5850,4,7
printer:Islamia Press,Islamia Press,printer,7,7000,5,7
printer:B. Lahora Singh,B. Lahora Singh,printer,7,350,0,0
printer:Punjab Educational Printing Works,Punjab Educational Printing Works,printer,6,5000,4,5
publisher:Balak Ram Anand,Balak Ram Anand,publisher,6,4200,1,6
publisher:M. Pokhar Das,M. Pokhar Das,publisher,6,6000,1,6
"publisher:Saghir Hasan, Proprietor, Yusufi Press","Saghir Hasan, Proprietor, Yusufi Press",publisher,6,4625,1,6
"publisher:The Secretary, Orphanage","The Secretary, Orphanage",publisher,6,3000,1,6
publisher:Mian Karm-ud-din,Mian Karm-ud-din,publisher,6,15000,2,6
printer:Mohyal Mitr Press,Mohyal Mitr Press,printer,6,3500,4,5
printer:Civil and Military Organ Press,Civil and Military Organ Press,printer,5,2250,2,2
printer:Mercantile Press,Mercantile Press,printer,5,4600,1,1
printer:Mission Steam Press,Mission Steam Press,printer,5,4150,3,4
printer:Mackey Press,Mackey Press,printer,5,9100,3,3
printer:Star Press,Star Press,printer,5,6500,4,4
publisher:Karkhana Paisa Akhbar,Karkhana Paisa Akhbar,publisher,5,5000,1,5
printer:Faiz-i-'Am Press,Faiz-i-'Am Press,printer,5,2800,3,3
printer:Sadar Press,Sadar Press,printer,5,5000,3,4
printer:Vidiya Sagar Press,Vidiya Sagar Press,printer,5,5000,4,5
publisher:B. Chatar Singh Jiwan Singh,B. Chatar Singh Jiwan Singh,publisher,5,5350,3,5
printer:Arorbans Press,Arorbans Press,printer,5,3650,2,2
publisher:Jot Singh Sant Singh,Jot Singh Sant Singh,publisher,5,13500,2,5
publisher:P. Roda Ram,P. Roda Ram,publisher,5,10000,1,5
printer:Khalsa Press,Khalsa Press,printer,4,4000,2,3
