quarter,pdf_page,printed_page,section,lang,char,topic,serial,reg,copies,printer_verbatim,printer,pcity,author,title,title_native,gloss,pp_verbatim,publisher,pubcity,date,price,edition,format,method,educ,copyright,notes,marks,norm_lang,periodical,norm_printer,norm_pcity,norm_publisher,norm_pubcity,pp_sum,flags_json
1910Q4,156,2,HINDI—DRAMA.,Hindi,,Drama,5,1175,2000,"Balmukand Press, Lahore.",Balmukand Press,Lahore,"Jamita Ram, B.",Sangit Rup Basant,True,"Story noticed in entry No. 2 at page 10 of the catalogue for the quarter ending the 30th June, 1909.",44,Pandit Roda Ram,Lahore,1910-09-04,6 pies,1st,8°,,,,"Cross-reference: 1909Q2 entry 2, page 10. Sangit (folk-opera) text.",,Hindi,,Balmukand Press,Lahore,Pandit Roda Ram,Lahore,44,[]
1910Q4,156,2,ENGLISH—LAW.,English,,Law,7,1393,50,"Albert Press, Lahore.",Albert Press,Lahore,"Morrison, H. W.",An Analysis of the second edition of Carter's History of English Legal Institutions,False,,61,Author,Lahore,1910-11-15,,1st,8°,,,,50 copies — smallest run category; law-exam study aid. Reg 1393 is the highest number seen in the 1910 sequence.,,English,,Albert Press,Lahore,Author,Lahore,61,"[{""field"": ""price"", ""issue"": ""no price line visible for this entry""}]"
1910Q4,156,2,ENGLISH—SCIENCE (MATHEMATICAL).,English,,Science (Mathematical),7,1179,1000,"Mercantile Press, Lahore.",Mercantile Press,Lahore,"Nihal Singh, Raizada",Geometry Made Easy,False,,46,"The author who is a teacher in the Municipal Board School, Chiniot",Chiniot,1910-07,6 annas,1st,16°,,Y,,Section headed '(Designed for educational purposes.)'.,,English,,Mercantile Press,Lahore,"The author who is a teacher in the Municipal Board School, Chiniot",Chiniot,46,[]
1910Q4,156,2,ENGLISH—LANGUAGE.,English,,Language,9,1282,1000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Aikat, A. C., M.A.",Notes on P. S. Allen's Selections from the writings of James Anthony Froude,False,,200 and 1,The Students' Own Agency,Lahore,1910-11,Rs. 2,1st,8°,,Y,,Section headed '(Designed for educational purposes.)'. ENGLISH—LANGUAGE serials continue the 1910 annual sequence (9 ff.). Exam-cram apparatus on Froude selections.,,English,,Punjab Printing Works,Lahore,The Students' Own Agency,Lahore,201,[]
1910Q4,156,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,9,1385,1000,"Punjab Printing Works, Lahore.",Punjab Printing Works,Lahore,"Jiwan Ram, Pandit",The Krishna Perpetual Calendar,False,,1 sheet,Author,Lahore,1910-11-25,Re. 1,1st,20 × 26,,,"Pandit Jiwan Ram, Lahore; No. 187, dated the 12th December, 1910.",,X,English,,Punjab Printing Works,Lahore,Author,Lahore,,[]
1910Q4,156,2,ENGLISH—LANGUAGE.,English,,Language,10,1235,250,"Mufid-i-'Am Press, Lahore.",Mufid-i-'Am Press,Lahore,"Knowlton, H. T.","Oral Lessons in English, illustrating the direct method of teaching foreign languages, reprinted from the Punjab Educational Journal, 1902",False,,32,M. Gulab Singh and Sons,Lahore,1910-08-23,,1st,8°,,Y,,Same Knowlton whose School Management was translated into Punjabi and Urdu in Q3. No price printed.,cursive pencil scribble left margin (spans serials 9–10),English,,Mufid-i-Am Press,Lahore,M. Gulab Singh and Sons,Lahore,32,"[{""field"": ""price"", ""issue"": ""no price line printed for this entry""}]"
1910Q4,156,2,ENGLISH—MISCELLANEOUS.,English,,Miscellaneous,10,1165,2000,"Virjanand Press, Lahore.",Virjanand Press,Lahore,,"Report of the First Punjab Hindu Conference held at Lahore on the 21st and 22nd of October, 1909",False,,191,The Punjab Hindu Sabha,Lahore,1910-09-01,6 annas,1st,8°,,,,"Proceedings of the first Punjab Hindu Conference (Hindu Sabha movement's founding event) — reg 1165, first registration of the quarter.",pencil stroke left margin,English,,Virjanand Press,Lahore,The Punjab Hindu Sabha,Lahore,191,[]
1910Q4,156,2,ARABIC—RELIGION.,Arabic,,Religion,11,1255,375,"Mujaddidi Press, Amritsar.",Mujaddidi Press,Amritsar,"Muhammad Hasan, Hafiz",Sabil-un-Najat,True,"A collection of forty traditions enjoining the veneration of sacred relics, etc.",20,Pir Ghulam Muhammad,Srinagar,1910-09-18,1 anna,1st,8°,litho.,,,"Published from Srinagar (Kashmir), printed Amritsar — likely tied to the Prophet's relic shrine (Hazratbal) devotion.",,Arabic,,Mujaddidi Press,Amritsar,Pir Ghulam Muhammad,Srinagar,20,[]
1910Q4,157,3,HINDI—LANGUAGE.,Hindi,,Language,9,1129,5000,"Balmukand Press, Lahore.",Balmukand Press,Lahore,,Balopdesh,True,A Hindi Primer.,16,B. Daya Singh and Son,Lahore,1910-10-02,6 pies,1st,8°,,Y,,Section headed '(Designed for educational purposes.)'. Three competing editions of Balopdesh registered within a week (serials 9–11).,,Hindi,,Balmukand Press,Lahore,B. Daya Singh and Son,Lahore,16,[]
1910Q4,157,3,HINDI—LANGUAGE.,Hindi,,Language,10,1131,4000,Ditto,Balmukand Press,Lahore,,Balopdesh,True,,16,Pandit Roda Ram,Lahore,1910-10-03,6 pies,1st,16°,,Y,,Title dash-continuation of serial 9; different publisher.,,Hindi,,Balmukand Press,Lahore,Pandit Roda Ram,Lahore,16,[]
